"product_uid","name","value"
100007,"Battery Power Type","Ni-Cad"
100007,"Battery Size",".Built-In"
100007,"Bulb Type Included","LED"
100007,"Bullet01","Advanced LED technology is dependable and energy efficient"
100007,"Bullet02","2 adjustable heads allow you to direct light where it is needed"
100007,"Bullet03","Engineering-grade thermoplastic housing is impact-resistant, scratch-resistant and corrosion-proof"
100007,"Bullet04","Integrated LEDs means no bulbs are required"
100007,"Bullet05","Typical life of the LEDs is 10 years of maintenance-free operation"
100007,"Bullet06","Black housing has a compact low-profile design"
100007,"Bullet07","Sealed, maintenance-free Ni-cad battery delivers 90 minute capacity to the LEDs"
100007,"Bullet08","Dual voltage input capability (120 to 277-volt)"
100007,"Bullet09","Easily installs to wall or ceiling"
100007,"Bullet10","UL damp-location listed"
100007,"Certifications and Listings","1-UL Listed,OSHA Compliant"
100007,"Commercial Light Type","Exit and Emergency"
100007,"Connection Type","Hardwired"
100007,"Emergency run time (min.)","90"
100007,"ENERGY STAR Certified","No"
100007,"Fixture Color/Finish","Black"
100007,"Fixture Color/Finish Family","Black"
100007,"Lamp heads","Yes"
100007,"Light Source","LED"
100007,"Material","Plastic"
100007,"Maximum Wattage (watts)","0"
100007,"MFG Brand Name","Lithonia Lighting"
100007,"Number of Bulbs Required","0"
100007,"Product Depth (in.)","2.75"
100007,"Product Height (in.)","4.25"
100007,"Product Weight (lb.)","1.5"
100007,"Product Width (in.)","10.25"
100008,"Assembled Depth (in.)",".375 in"
100008,"Assembled Height (in.)","1.5 in"
100008,"Assembled Width (in.)",".375 in"
100008,"Bullet01","For metal to metal fastening"
100008,"Bullet02","Ideal for use with metal of a thicker gauge"
100008,"Bullet03","Use with HVAC, electrical and door applications"
100008,"Bullet04","Screws tap their own heads"
100008,"Bullet05","Steel construction"
100008,"Bullet06","1-1/2 in. long"
100008,"Bullet07","Zinc-plated"
100008,"Coated","N"
100008,"Drive Style","External Hex"
100008,"Driver bit included","No"
100008,"Fastener Callout Size","#10 x 1-1/2 In."
100008,"Fastener Head Style","Hex"
100008,"Fastener length (in.)","1.5"
100008,"Fastener Plating","Zinc"
100008,"Fastener Thread Type","Standard"
100008,"Fastener Type","Self-Drilling Screw"
100008,"Fastener/Connector Material","Steel"
100008,"Finish","Zinc-plated"
100008,"Finish Family","Metallic"
100008,"Head diameter (in.)",".375"
100008,"Head Style","Flange Hex"
100008,"Indoor/Outdoor","Indoor/Outdoor"
100008,"Measurement Standard","SAE"
100008,"MFG Brand Name","Teks"
100008,"Package Quantity","90"
100008,"Primary Use","Metal to metal fastening"
100008,"Product Weight (lb.)",".012"
100008,"Screw Length","1-1/2 in"
100008,"Self drilling","Yes"
100008,"Self tapping","Yes"
100008,"Size","#10"
100008,"Tamper Resistant","No"
100009,"Application","Door & Window"
100009,"Bullet01","Made of primed MDF"
100009,"Bullet02","Can be painted to match your decor"
100009,"Bullet03","Resistant to moisture"
100009,"Bullet04","For interior use"
100009,"Bullet05","96 in. Length"
100009,"Color Family","White"
100009,"Flexible","No"
100009,"Interior/Exterior","Interior"
100009,"Kits","No"
100009,"Material","Medium Density Fiberboard (MDF)"
100009,"MFG Brand Name","House of Fara"
100009,"Moisture Resistant","Yes"
100009,"Moulding Features","Moisture Resistant"
100009,"Moulding Type","Casing"
100009,"Paintable/Stainable","Yes"
100009,"Pattern Number","8583"
100009,"Prefinished","No"
100009,"Pro Pack","No"
100009,"Product Depth (in.)","0.75"
100009,"Product Height (in.)","96"
100009,"Product Length (in.)","96"
100009,"Product Width (in.)","3"
100009,"Rot Resistant","No"
100009,"Sell Pack Options","Single Item"
100009,"Termite Resistant","No"
100009,"Wood Veneer","No"
100010,"Attachable","No"
100010,"Bullet01","Can be used with all valley View lawn edgings and brick/ paver edgings"
100010,"Bullet02","Utility stakes can be used for many purposes"
100010,"Bullet03","Galvanized steel for strength"
100010,"Bullet04","9 in. length"
100010,"Bullet05","Priced competitively yet provides much more value in product"
100010,"Color Family","Metallic"
100010,"Color/Finish","Silver/Gray"
100010,"Hardware Included","No"
100010,"Landscape Supply Type","Non Concrete Edging"
100010,"Material","Steel"
100010,"MFG Brand Name","Valley View Industries"
100010,"Package Quantity","4"
100010,"Product Depth (in.)","1"
100010,"Product Height (in.)","9"
100010,"Product Width (in.)","1"
100010,"Width","1 in"
100011,"Assembled Depth (in.)","59 in"
100011,"Assembled Height (in.)","44 in"
100011,"Assembled Width (in.)","23 in"
100011,"Blade Length (In.)","22 in"
100011,"Bullet01","Recycler cutting system - front throw chamber and atomic blade lift, suspend and re-cut clippings into a fine mulch for a healthy, lush lawn"
100011,"Bullet02","22 in. steel deck with atomic blade"
100011,"Bullet03","Briggs & Stratton 7.25 ft. lbs. gross torque 190cc engine with ready start - no need to prime or choke"
100011,"Bullet04","Personal pace self-propel system senses and smoothly adjusts to your preferred walking pace"
100011,"Bullet05","3-in-1: mulch, side discharge or bag"
100011,"Bullet06","Bag-on-demand - quickly switch from mulching to bagging in seconds by flipping the quick-change lever"
100011,"Bullet07","Rear wheel drive self propel provides better traction in all cutting conditions - let the mower do the work"
100011,"Bullet08","Washout port - attach a hose to the mower deck to easily clean the underside of the deck"
100011,"Bullet09","""Quick connect"" bagging system"
100011,"Bullet10","9 cutting positions with 1-4 in. cutting height range to manicure the lawn to your specifications"
100011,"Bullet12","3-year guaranteed-to-start and 2-year full warranty, see retailer for details"
100011,"Bullet13","Gross torque of this engine was laboratory rated at 2800 rpm per SAE J1940 by the engine manufacturer, as configured to meet safety, emission, and operating requirements, the actual engine torque on this class of mower will be significantly lower"
100011,"Bullet20","Note: product may vary by store"
100011,"CA (CARB) Compliant","CARB Compliant"
100011,"Cutting Options","Bag,Mulch,Side-Discharge"
100011,"Cutting Width (in.)","22"
100011,"Drive type","Rear-wheel Drive"
100011,"Engine Displacement (cc)","190"
100011,"Engine Make","Briggs and Stratton"
100011,"Features","Bagger,Deck cleanout,Foldable handle,Tool-free adjustments"
100011,"Fuel tank capacity (gallons)",".25"
100011,"Fuel Type","Gas"
100011,"Included","Engine oil"
100011,"Lawn Mower Type","Walk Behind"
100011,"Maximum cutting height (in.)","4"
100011,"MFG Brand Name","Toro"
100011,"Minimum cutting height (in.)","1"
100011,"Mulching Capability","Yes"
100011,"Number of adjustable handlebar positions","1"
100011,"Number of Blades","1"
100011,"Oil capacity (oz.)","20"
100011,"Product Weight (lb.)","80"
100011,"Rear wheel size (in.)","8"
100011,"Reconditioned","No"
100011,"Size of Yard","1/4 - 1/2 Acre"
100011,"Start Type","Pull"
100011,"Terrain","Flat with Obstacles"
100011,"Walk Behind Mower Type","Self Propelled"
100012,"Actual Blind/Shade Width (In.)","96"
100012,"Arched","No"
100012,"Bullet01","96 in. W x 72 in. L"
100012,"Bullet02","Actual Blind Width is 96 in."
100012,"Bullet03","No deductions are made to this blind - the actual width of this blind is the same as width ordered"
100012,"Bullet04","For an Inside Mount, fits windows: 96 in. Wide"
100012,"Bullet05","For an Outside mount, order the width of the overall area to be covered"
100012,"Bullet06","Shade provides privacy and the perfect amount of light"
100012,"Bullet07","Ships within 2-3 business days"
100012,"Bullet08","Bamboo slats held by a dark weave cord for warm tones and natural beauty"
100012,"Bullet09","Natural materials may vary slightly in color"
100012,"Bullet10","Rolls up easily when you want to let in additional sunlight"
100012,"Bullet11","Installs in minutes with the included simple hook hardware"
100012,"Bullet12","Filters out light for energy-efficient insulation"
100012,"Bullet13","Includes a 6 in. matching valance, a color coordinated weaving thread and pull cords"
100012,"Bullet14","Decorating Tip: Add depth and texture to a room by layering textured window shades under curtain panels or cornice boards"
100012,"Bullet15","Decorating Tip: To make your windows look larger, you can hang this shade outside the molding or up to the ceiling"
100012,"Bullet21","<b>WARNING:</b> The cords on this product present a potential strangulation hazard. For child safety, consider cordless alternatives or products with inaccessible cords. To access a copy of the warning label, see additional images."
100012,"Certifications and Listings","ANSI Certified"
100012,"Color Family","Tan"
100012,"Color/Finish","Caramel"
100012,"Color/Finish Family","Browns/Tans"
100012,"Cordless/Corded","Corded"
100012,"Decor Product Type","Window Treatment"
100012,"Enclosure Type","No Enclosure"
100012,"Features","Routless"
100012,"Fire retardant","No"
100012,"Front Color","Fruitwood"
100012,"Hardware Included","Yes"
100012,"Included","No Additional Items Included"
100012,"Light Control","Light Filtering"
100012,"Material","Bamboo"
100012,"MFG Brand Name","Hampton Bay"
100012,"Minimum window depth required (in.)","1.75"
100012,"Mount Type","Inside/Outside"
100012,"Opening type","Bottom up"
100012,"Orientation","Horizontal"
100012,"Pre-Cut Deduction (in.)","0"
100012,"Pre-Cut or True-to-Size Blind","True-to-Size"
100012,"Product Depth (in.)","1"
100012,"Product Height (in.)","72"
100012,"Product Length (in.)","72"
100012,"Product Weight (lb.)","9.15"
100012,"Product Width (in.)","96"
100012,"Slat/vane width (in.)","96"
100012,"Stain Resistant","No"
100012,"Surface","Textured"
100012,"Washable","No"
100012,"Width (in) x Length (in)","96 x 72"
100012,"Window Treatment Product Type","Natural/Woven Roman Blind/Shade"
100013,"Bullet01","Kit includes satin nickel, chrome and white finish buttons to complement decor"
100013,"Bullet02","Compatible with disposers that have AC below the sink"
100013,"Bullet03","Suitable for kitchen island installations"
100013,"Bullet04","Includes the fittings required to install a single outlet sink top switch"
100013,"Bullet05","Additional button finishes available include gloss black, biscuit, mocha bronze, oil-rubbed bronze, matte black, and french gold"
100013,"Color Family","Black"
100013,"Color/Finish","Black"
100013,"Kitchen Product Type","Disposal Accessory"
100013,"MFG Brand Name","InSinkErator"
100013,"Product Depth (in.)","4"
100013,"Product Height (in.)","8"
100013,"Product Width (in.)","7.25"
100014,"Base Spread (in.)","10"
100014,"Bullet01","Folds up for easy storage virtually anywhere"
100014,"Bullet02","300 lbs. Load capacity"
100014,"Bullet03","Comfortable, solid standing surface"
100014,"Bullet04","Easy to use"
100014,"Certifications and Listings","No Certifications or Listings"
100014,"Ladder Height (ft.)","1"
100014,"Ladder Rating","Not Rated"
100014,"Ladder Type","Step Stool"
100014,"Ladders/Scaffolding Features","Foldable"
100014,"Load weight capacity","300 lb."
100014,"Material","Plastic"
100014,"MFG Brand Name","Rubbermaid"
100014,"Nonslip tread","1"
100014,"Number of Steps","1"
100014,"Product Weight (lb.)","3"
100014,"Rung/Step Depth","8.75"
100014,"Step rise (in.)","8.5"
100015,"Bullet01","Pest resistant"
100015,"Bullet02","Strong and durable"
100015,"Bullet03","Easy installation"
100015,"Bullet04","Treatment: Fencing is not treated. Always apply a good quality; oil based UV-resistant wood sealant using a brush for best application"
100015,"Bullet05","Approx. 1 in. diameter, natural color"
100015,"Bullet06","Heavy duty galvanized steel wires"
100015,"Color Family","Tan"
100015,"Color/Finish","Bamboo Tan"
100015,"Fence Application","Decorative,Garden,Privacy"
100015,"Garden Fencing Type","Split Bamboo Fence"
100015,"Landscape Supply Type","Garden Fencing"
100015,"Material","Bamboo"
100015,"MFG Brand Name","Backyard X-Scapes"
100015,"Package Quantity","1"
100015,"Product Depth (in.)","1"
100015,"Product Height (in.)","72"
100015,"Product Width (in.)","72"
100016,"Approximate Depth (ft.)","8"
100016,"Approximate Width (ft.)","5"
100016,"Assembled Depth (in.)","96.45 in"
100016,"Assembled Height (in.)","98.4 in"
100016,"Assembled Width (in.)","60.6 in"
100016,"Bullet01","Vented canopy"
100016,"Bullet02","Built in lattice work is great for holding grill accessories"
100016,"Bullet03","2 built in tile shelves"
100016,"Bullet04","Versatile design will coordinate easily"
100016,"Bullet05","Durable, powder coated finish"
100016,"Bullet06","Low maintenance, easy to clean"
100016,"Color Family","Blacks"
100016,"Frame Material","Steel"
100016,"MFG Brand Name","Sunjoy"
100016,"Outdoor Living Product Type","Gazebo"
100016,"Product Weight (lb.)","101.43"
100016,"Shape","Rectangular"
100017,"Bullet01","Use to repair door or window screens, or add stylish accents to room dividers and cabinet fronts"
100017,"Bullet02","Lightweight and sturdy construction"
100017,"Bullet03","Easy to cut and form"
100017,"Bullet04","Rust resistant"
100017,"Bullet05","36 in. x 36 in. x 1/50 in."
100017,"Bullet06","Mill aluminum finish"
100017,"Bullet07","Stylish cloverleaf design"
100017,"Corrosion Resistant","Yes"
100017,"Fastener Type","Metal Stock"
100017,"Finish Family","Silver Metallic"
100017,"Indoor/Outdoor","Indoor/Outdoor"
100017,"Material","Aluminum"
100017,"Measurement Standard","SAE"
100017,"Metal Stock Type","Sheet Metal"
100017,"MFG Brand Name","MD Building Products"
100017,"Package Quantity","1"
100017,"Perforated","Yes"
100017,"Product Depth (in.)","0.02"
100017,"Product Height (in.)","36"
100017,"Product Length (in.)","36 in"
100017,"Product Thickness (in.)","0.02"
100017,"Product Weight (lb.)","1.188 lb"
100017,"Product Width (in.)","36 in"
100017,"Weldable","No"
100017,"Width (in) x Length (in)","36in x 36 in"
100018,"Bullet01","Size: 3.25 in. diameter x 2.75 in. tall"
100018,"Bullet02","Threaded sprinkler head easily attaches"
100018,"Bullet03","Color: white"
100018,"Bullet04","Made in the USA"
100018,"Capacity (gallons)","2"
100018,"Color Family","White"
100018,"Material","Plastic"
100018,"MFG Brand Name","Bloem"
100018,"Product Depth (in.)","3.25"
100018,"Product Height (in.)","2.75"
100018,"Product Width (in.)","5.25"
100018,"Spout Length (in.)","2.75"
100019,"Application","Wall"
100019,"Bullet01","MDF kit includes, 1-piece 8 ft. chairrail, 1-piece 8 ft. base and 16 pieces 32 in. panels"
100019,"Bullet02","Overlapping wainscot"
100019,"Bullet03","Primed and ready to be painted to your preference"
100019,"Bullet04","Easy to install instructions included"
100019,"Bullet05","Kit includes chair rail and base moulding"
100019,"Color Family","White"
100019,"Color/Finish","White"
100019,"Finish Type","Primed"
100019,"Material","Medium Density Fiberboard (MDF)"
100019,"MFG Brand Name","House of Fara"
100019,"Paneling/Planking Features","Tongue and Groove"
100019,"Paneling/Planking Style","Beadboard"
100019,"Paneling/Planking Type","Wainscoting Kit"
100019,"Product Depth (in.)","0.312"
100019,"Product Height (in.)","32"
100019,"Product Thickness (in.)","0.312"
100019,"Product Width (in.)","5.906"
100019,"Quantity","18"
100020,"Bulb Type Included","LED"
100020,"Bullet01","Great LED technology"
100020,"Bullet02","5 watt"
100020,"Bullet03","Last for 30,000 hours"
100020,"Bullet04","CSA and UL approved"
100020,"Certifications and Listings","1-UL Listed,CSA Listed"
100020,"Color/Finish Family","White"
100020,"Connection Type","Plug-in"
100020,"ENERGY STAR Certified","No"
100020,"Fixture Color/Finish","White"
100020,"Fixture Material","Plastic"
100020,"Hardware Included","Yes"
100020,"Light Source","LED"
100020,"Linkable","Yes"
100020,"Maximum Wattage (watts)","0"
100020,"MFG Brand Name","BAZZ"
100020,"Mounting Method","Adhesive"
100020,"Product Depth (in.)","12"
100020,"Product Height (in.)","0.25"
100020,"Product Weight (lb.)","1.23"
100020,"Product Width (in.)","0.5"
100020,"Slim line","Yes"
100020,"Under Cabinet Light Type","Strip Light"
100021,"Assembled Depth (in.)","6 in"
100021,"Assembled Height (in.)","2.25 in"
100021,"Assembled Width (in.)","2.25 in"
100021,"Bullet01","Spray distance from 8 ft. to 15 ft."
100021,"Bullet02","Patented close-in watering for most efficient uniform water coverage, resulting in the elimination of dry brown spots"
100021,"Bullet03","Heavy-duty stainless-steel spring helps ensure flush retraction"
100021,"Bullet04","Pop-up sprinkler head features a top-adjustment screw to adjust the spray distance"
100021,"Bullet05","4 in pop-up height"
100021,"Bullet06","Dual spray technology for water efficiency"
100021,"Bullet07","Reduces water waste in windy conditions"
100021,"Bullet20","Note: Product may vary by store."
100021,"Color Family","Blacks"
100021,"Irrigated","Yes"
100021,"Irrigation System Component","Sprinkler"
100021,"Maximum Coverage Area (sq ft.)","353"
100021,"Maximum Spray Distance (ft.)","15"
100021,"MFG Brand Name","Rain Bird"
100021,"Pressure Rating","70 psi"
100021,"Product Diameter (in.)","2.25 in"
100021,"Retracted Height (in.)","5.9"
100021,"Retraction Spring","Yes"
100021,"Riser Required","Yes"
100021,"Sprinkler Location","Below ground"
100021,"Sprinkler Type","Pop-Up"
100022,"Amperage (amps)","15"
100022,"Appliance Type","Front Load Washer"
100022,"Assembled Depth (in.)","33 in"
100022,"Assembled Height (in.)","38.7 in"
100022,"Assembled Width (in.)","27 in"
100022,"Bullet01","4.2 cu. ft. DOE stainless steel basket handles bigger loads to let you enjoy more time in the living room instead of the laundry room"
100022,"Bullet02","Stainless steel diamond drum won't rust or damage clothing"
100022,"Bullet03","Sanitizing cycle for a cleaner wash ensures the right water temperature and activates the NSF sanitize cycle for 99.9% bacteria-free laundry"
100022,"Bullet04","Steam for stains option is available with the allergen cycle and uses a combination of water temperature and steam to provide the optimal environment for detergent enzymes to work on removing organic stains"
100022,"Bullet05","Features nine cycles: eco wash, normal, heavy duty, permanent press, sanitize, bedding, deep steam, delicates and wool"
100022,"Bullet06","ENERGY STAR- and CEE Tier 3-rated"
100022,"Bullet07","Electronic controls provide easy 1-touch operation and cycle display time"
100022,"Bullet08","Preset cycles allow you to customize your soil and spin levels to provide ideal wash settings for the best results"
100022,"Bullet09","Automatic water level adjustment helps save on energy costs"
100022,"Bullet10","Delay start feature begins operation when it’s most convenient for your schedule"
100022,"Bullet11","Vibration-reduction technology with special sensors keep the drum balanced, so you hardly know the washer is on"
100022,"Bullet12","Ergonomic front-load design makes loading and unloading simple and easy"
100022,"Bullet13","Stackable design provides all-in-1 vertical look to maximize floor space"
100022,"Bullet14","Pedestal shown in product image is not included with purchase and is offered separately during appliance checkout"
100022,"Bullet15","Can only be used with high-efficiency detergent, typically two tablespoons per load"
100022,"Bullet16","Please note: The Home Depot will not hook up your washer with used fill hoses; new fill hoses will be offered during appliance checkout."
100022,"Capacity - Washer (cu. ft.)","4.2"
100022,"Capacity- Front Load Washer (cu ft)","4.2"
100022,"Certifications and Listings","1-UL Listed,ANSI Certified,CSA Certified,NSF Listed"
100022,"Color/Finish","White"
100022,"Color/Finish Family","White"
100022,"Control Type","Electronic"
100022,"Cycle - Allergen","Yes"
100022,"Depth With Door Open 90 Degrees (In)","50.8"
100022,"Door Opening Height (In.)","11.75"
100022,"Door Opening Width (In.)","22"
100022,"Door Style","Left Swing"
100022,"Energy Consumption (kWh/year)","93"
100022,"Energy Efficiency Tier Rating","Tier III"
100022,"ENERGY STAR Certified","Yes"
100022,"High Efficiency Washer","Yes"
100022,"High-Efficiency Detergent Required","Yes"
100022,"Included Items","Hoses,Power Cord"
100022,"Maximum Spin Speed (RPM)","1200"
100022,"MFG Brand Name","Samsung"
100022,"Number of Rinse Cycles","3"
100022,"Number of Rinse Temperatures","1"
